SKU,Product-Header,Product-By,Product-Information,Image-Url,Price,Shipping Cost,Price + Shipping/Import,Link,Color,Merchant Info,Total Reviews,Average Ratings,Short Description,Long Description,Dimensions,Item Weight,Shipping Weight,Model Number
B077Q19RF9,"Honor 7C Blue (5.99"" FullView Display, 32GB)",Honor and 3 more promotions,"OS : Android
RAM : 3 GB
Item Weight : 163 g
Product Dimensions : 15.8 x 0.8 x 7.6 cm
Batteries: : 1 Lithium Polymer batteries required. (included)
Item model number : LND-AL30
Wireless communication technologies : Bluetooth;WiFi Hotspot
Connectivity technologies : GSM;(B2,B3,B5,B8);WCDMA(B1,B5,B8);4G LTE;TD;(38,39,40,41);FDD;(1,3,5,8);WiFi 802.11 b/g/n, 2.4GHz
Special features : Dual SIM;GPS;Music Player;Video Player;;Accelerometer;Proximity sensor;Ambient light sensor;Compass;Fingerprint sensor;E-mail
Other camera features : 8
Form factor : Touchscreen Phone
Weight : 163 Grams
Colour : Blue
Battery Power Rating : 3000
Whats in the box : Handset, Charger, USB 2.0 cable, Quick Start Guide, Warranty Card, Eject tool, TP Protective film (Pre Applied)
 : 
ASIN : B077Q19RF9
Customer Reviews : 
Best Sellers Rank : #38 in Electronics (See top 100)         #18    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 18 June 2018
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,9999,0,9999,https://www.amazon.in/dp/B077Q19RF9,Blue,"Sold by #GreenMobiles (4.6 out of 5 | 3,293 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.","1,656 customer reviews",3.8 out of 5 stars,"13MP + 2MP primary dual camera and 8MP front facing camera with F2.0 aperture with soft selfie toning light
							
						
					
						 
							Massive 15.2 cms (5.99-inch) Honor FullView (18:9) Display, LED capacitive touchscreen with 720 x 1440 pixels resolution, 268 ppi pixel density and 16M color support
							
						
					
						 
							Android EMUI v8.0 on top of Oreo operating system with 1.8GHz Qualcomm Snapdragon 450 octa core processor, 3GB RAM, 32GB internal memory expandable up to 256GB (dedicated slot); dual SIM (nano+nano)  and dual-standby (4G+4G)
							
						
					
						 
							Supports both face and finger print unlock. 3000mAh lithium-polymer battery
							
						
					
						 
							1 year warranty on handset and 6 months on battery /charger, 3 months on accessories(data cable) provided by the manufacturer from date of purchase. Call Center：18002096555
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Size name:32 GB
            
          
            
            
            
                 | 
            
             Colour:Blue
            
          
          
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
         
        
        	
        	
        		
        			Honor 7C is here to redefine the budget segment smartphones with high end specs, It is the most affordable dual camera phone powered by Qualcomm Snapdragon Octa core chipset. The large 5.99-inch HD+ (720x1440 pixels) IPS LCD panel is one of the first things you'll notice about the Honor 7C. It comes with many new features such as the 'Ride Mode', knuckle gestures, a one-handed mode, an intelligent messages app.",15.8 x 0.8 x 7.6 cm,163 g,,LND-AL30
B01DDP7D6W,Samsung On7 Pro (Gold),Samsung and 3 more promotions,"OS : Android
RAM : 2 GB
Item Weight : 172 g
Product Dimensions : 7.8 x 15.2 x 0.8 cm
Item model number : G-600FY
Wireless communication technologies : Bluetooth, WiFi Hotspot
Connectivity technologies : GSM, (850/900/1800/1900 MHz), 4G LTE, (2600/2100/2300/1900/1800/850/900/800 MHz)
Special features : Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, E-mail
Other camera features : 13MP Primary & 5MP front
Form factor : Touchscreen Phone
Weight : 172 Grams
Colour : Gold
Battery Power Rating : 3000
Whats in the box : Handset, Travel Adaptor, USB Cable and User Guide (Earphones to be purchased separately)
 : 
ASIN : B01DDP7D6W
Customer Reviews : 
Best Sellers Rank : #79 in Electronics (See top 100)         #30    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 1 January 2017
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,7990,0,7990,https://www.amazon.in/dp/B01DDP7D6W,Gold,"Sold by STPL Exclusive Online (4.4 out of 5 | 11,097 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.","13,550 customer reviews",3.8 out of 5 stars,"13MP primary camera with auto mode, beauty face, continuous shot, interval shot, panorama mode and 5MP front facing camera with palm gesture selfie and 120 degree selfie mode
							
						
					
						 
							13.86 centimeters (5.5-inch) TFT capacitive touchscreen with 720 x 1280 pixels HD display
							
						
					
						 
							Andorid v6.0 Marshmallow operating system with 1.2GHz Qualcomm Snapdragon quad core processor, 2GB RAM, 16GB internal memory expandable up to 128GB and dual SIM (micro+micro) dual-standby (4G+4G)
							
						
					
						 
							Removable Li-Ion 3000 mAh battery.Customer Service Number:1800407267864
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase. Earphones to be purchased separately
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Colour:Gold
            
          
          
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
         
        
        	
        	
        		
        			With LTE Cat 4 support, you can download HD movies, enjoy web browsing and music streaming, all at lightening-quick speeds. Experience seamless network connectivity via speedy Wi-Fi connection. Bluetooth-enabled to allow you to pair it with a headset, tablet or other device.",7.8 x 15.2 x 0.8 cm,172 g,,G-600FY
B077PWK5QD,,Mi and 3 more promotions,,https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,"9,999",,,https://www.amazon.in/dp/B077PWK5QD,,,,,,,,,,
B0714DP3B9,"Moto G5s Plus (Blush Gold, 64GB)",Motorola and 4 more promotions,"OS : Android v7.1.1
RAM : 4 GB
Item Weight : 168 g
Product Dimensions : 15.4 x 0.8 x 7.6 cm
Batteries: : 1 A batteries required. (included)
Item model number : XT 1804
Wireless communication technologies : Bluetooth, WiFi Hotspot
Connectivity technologies : GSM, (850/900/1800/1900 MHz), UMTS, 3G, (2100/850/900 MHz), 4G LTE
Special features : Dual SIM, GPS, Music Player, Video Player, Proximity sensor, Accelerometer, Ambient light sensor, Gyroscope, Sensor hub
Other camera features : Rear Camera: Dual Camera, Pro-Mode, Panorama, Background blur, Selective B&W, Change BackgroundFront Camera: Wide Angle Selfie,Pro-Mode, Selfie-beautification & timer
Form factor : Touchscreen Phone
Weight : 168 Grams
Colour : Blush Gold
Battery Power Rating : 3000
Whats in the box : Handset, 15W Turbo Charger, Headset and USB Cable
 : 
ASIN : B0714DP3B9
Customer Reviews : 
Best Sellers Rank : #115 in Electronics (See top 100)         #40    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 29 August 2017
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,11999,0,11999,https://www.amazon.in/dp/B0714DP3B9,Blush Gold,"Sold by Darshita Electronics (4.6 out of 5 | 33,944 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.","30,008 customer reviews",3.7 out of 5 stars,"13+13MP dual back camera (f/2.0, dual LED flash) and 8MP front facing camera with flash
							
						
					
						 
							4GB RAM and 64GB internal memory expandable up to 128GB
							
						
					
						 
							13.97cms (5.5-inch) Full HD (1080 x 1920) capacitive touchscreen with Gorilla Glass 3 protection
							
						
					
						 
							Dual nano hybrid SIM with dual-standby (4G+4G); Metal body with fingerprint reader
							
						
					
						 
							Android v7.1.1 Nougat operating system with 2.0GHz Snapdragon 625 octa-core processor
							
						
					
						 
							3000mAH Lithium-ion battery with 15W Turbo Charging
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including battery from the date of purchase
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Colour:Blush Gold
            
          
          
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
         
        
        	
        	
        		
        			Our first-ever Moto G with a head-turning metal design gives you more than you’d expect for less than you’d think. Free yourself with a 2800mAh all-day battery and rapid charging.Take beautiful photos even in bright light with a fast-focusing 13 MP camera. Stay entertained on the go with a fast 1.4 GHz octa-core processor.Unlock your phone using only your fingerprint. And turn on the camera with a twist of your wrist—our exclusive Moto Experiences give you simple shortcuts to the features you use most.",15.4 x 0.8 x 7.6 cm,168 g,,XT 1804
B01FM7GGFI,Samsung On5 Pro (Gold),Samsung and 3 more promotions,"OS : Android
RAM : 2 GB
Item Weight : 150 g
Product Dimensions : 7.2 x 14.2 x 0.9 cm
Batteries: : 1 AA batteries required. (included)
Item model number : G-550FY
Wireless communication technologies : Bluetooth, WiFi Hotspot
Connectivity technologies : GSM, (850/900/1800/1900 MHz), 4G LTE, (2300/2100/1900/1800/850/900 MHz)
Special features : Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, E-mail
Other camera features : 8MP primary & 5MP front
Form factor : Touchscreen Phone
Weight : 150 Grams
Colour : Gold
Battery Power Rating : 2600
Whats in the box : Handset, Travel Adaptor, USB Cable and User Guide
 : 
ASIN : B01FM7GGFI
Customer Reviews : 
Best Sellers Rank : #67 in Electronics (See top 100)         #25    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 1 January 2017
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,6990,0,6990,https://www.amazon.in/dp/B01FM7GGFI,Gold,"Sold by STPL Exclusive Online (4.4 out of 5 | 11,097 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.","11,168 customer reviews",4.0 out of 5 stars,"8MP primary camera with auto mode, beauty face, continuous shot, interval shot, panorama mode and 5MP front facing camera with palm gesture selfie and 120 degree selfie mode
							
						
					
						 
							12.7 centimeters (5-inch) TFT capacitive touchscreen with 720 x 1280 pixels HD display
							
						
					
						 
							Andorid v6.0 Marshmallow operating system with 1.3GHz Exynos quad core processor, 2GB RAM, 16GB internal memory expandable up to 128GB and dual SIM (micro+micro) dual-standby (4G+4G)
							
						
					
						 
							Removable Li-Ion 2600 mAh battery
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Colour:Gold
            
          
          
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
         
        
        	
        	
        		
        			An unprecedentedly thin frame and bezel for a comfortable and steady grip. Its eye-catching, leather-feel rear cover adds an extra touch of class.",7.2 x 14.2 x 0.9 cm,150 g,,G-550FY
B076HSBF11,"Sony Xperia R1 G2199 (Black, 16GB)",Sony and 4 more promotions,"OS : Android 8.0 Oreo
RAM : 2 GB
Item Weight : 150 g
Product Dimensions : 14.6 x 0.8 x 7.2 cm
Batteries: : 1 Lithium ion batteries required. (included)
Item model number : Xperia R1 Dual
Wireless communication technologies : Bluetooth, WiFi Hotspot
Connectivity technologies : 4G LTE, GPRS, WiFi
Special features : Dual SIM, GPS, FM Radio, Proximity sensor, eCompass, Accelerometer, Light sensor, Hall sensor, Gyro sensor, E-mail
Other camera features : 8MP
Form factor : Touchscreen Phone
Weight : 150 Grams
Colour : Black
Battery Power Rating : 2620
Whats in the box : Handset, Quick Charger, Type-C Data Cable, Startup Guide, Screen Guard and Stereo Headphones
 : 
ASIN : B076HSBF11
Customer Reviews : 
Best Sellers Rank : #1,810 in Electronics (See top 100)         #192    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 17 October 2017
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,9390,0,9390,https://www.amazon.in/dp/B076HSBF11,Black,"Sold by Appario Retail Private Ltd (4.7 out of 5 | 72,801 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.",94 customer reviews,3.4 out of 5 stars,"13MP primary camera and 8MP front facing camera
							
						
					
						 
							13.2 centimeters (5.2-inch) with 720 x 1280 pixels resolution
							
						
					
						 
							Android 8.0 Oreo operating system with 1.4GHz Qualcomm Snapdragon 430 octa core processor, 2GB RAM, 16GB internal memory expandable up to 256GB and dual SIM (nano+nano) dual-standby (4G+4G)
							
						
					
						 
							2620mAH lithium-ion battery
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Xperia R1 is a perfect fit for your hand and features a 5.2-inch HD display, an octa-core processor with 4G VoLte. The R1 is made for India, with sturdy and premium design, crisp and powerful sound, smooth performance. Capture amazing images with strong 13MP Exmor R sensor camera, with 8MP wide angle front camera.",14.6 x 0.8 x 7.2 cm,150 g,,Xperia R1 Dual
B0728C6FJ9,"Samsung Galaxy A8 Star (Black, 6GB+64GB)",Samsung and 2 more promotions,"OS : Android
RAM : 6 GB
Item Weight : 191 g
Product Dimensions : 16.2 x 0.8 x 7.7 cm
Item model number : SM-G885FZKGINS
Wireless communication technologies : Bluetooth;WiFi Hotspot
Connectivity technologies : 2G;GSM;3G;WCDMA;4G LTE;FDD
Special features : ;;Dual SIM;GPS;Music Player;Video Player;;Accelerometer;Fingerprint sensor;Gyro sensor;Geomagnetic sensor;Hall sensor;RGB Light sensor;Proximity sensor;E-mail
Other camera features : 24MP
Form factor : Touchscreen Phone
Weight : 191 Grams
Colour : Black
Battery Power Rating : 3700
Whats in the box : Handset with Non-removable battery, charger, earphone and user manual
 : 
ASIN : B0728C6FJ9
Customer Reviews : 
Best Sellers Rank : #382 in Electronics (See top 100)         #76    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 20 August 2018
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,34990,0,34990,https://www.amazon.in/dp/B0728C6FJ9,Black,"Sold by STPL Exclusive Online (4.4 out of 5 | 11,097 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.",6 customer reviews,4.0 out of 5 stars,"24MP + 16MP primary camera and 24 MP front facing camera
							
						
					
						 
							6.3 inches (159.5mm) Super AMOLED with 1080 x 2220 pixels resolution
							
						
					
						 
							Android v8.0 operating system with 2.2GHz SDM660 Snapdragon Qualcomm octa core processor, 6GB RAM, 64GB internal memory expandable up to 400GB and dual SIM dual-standby (4G+4G)
							
						
					
						 
							3700mAH lithium-ion battery
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Colour:Black
            
          
          
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
         
        
        	
        	
        		
        			Galaxy A8 Star features an ergonomic, near bezel-less design that minimizes distraction so you can comfortably keep watching over what’s on screen. Its 6.3inch Full HD+ Super AMOLED display provides immersive viewing experience. Double the advantage. Galaxy A8 Star features a sleek design and symmetrical side styling that grips well in the hand. And with its sleek, elegant design users can look good when used on the move with life’s daily adventures. Shoot sharp and bright day and night. Galaxy A8 Star comes with 16MP and 24MP camera sensors, allowing user to minimize noise reduction and take clear selfies even in the dark environments.",16.2 x 0.8 x 7.7 cm,191 g,,SM-G885FZKGINS
B073GV86DQ,SCOSMOS 4G VOLTE (16GB White),SCOSMOS and 2 more promotions,"OS : Android 6.0.1
RAM : 2 GB
Item Weight : 431 g
Product Dimensions : 7.7 x 1 x 15.2 cm
Item model number : Pi 5.5 L White
GPS : GPS Enabled
Special features : 13 MP Back and 5 MP Front Camera, 5.5 Inch Super HD IPS Display, Shock Proof NMT Frame and IML Rear Cover, 2GB RAM + 16 GB ROM, 2.5 D Corning Gorilla Glass 4, Bass Sound System, Smart 4G+/ VoLTE, 2500 mAh Li-Polymer Battery, Quad core Processor, Ultra fast FingerPrint
Form factor : Touchscreen
Colour : Aurora White
Battery Power Rating : 2500 milliamp_hours
Whats in the box : Charger, Data cable, ear phone, Warranty certificate
 : 
ASIN : B073GV86DQ
Customer Reviews : 
Best Sellers Rank : #19,783 in Electronics (See top 100)         #754    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 28 June 2017
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,6299,0,6299,https://www.amazon.in/dp/B073GV86DQ,Aurora White,"Sold by SCOSMOS (4.0 out of 5 | 37 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.",18 customer reviews,3.4 out of 5 stars,"13 MP Primary camera with 4120 x 3096 pixels, autofocus, LED flash, geo-tagging, touch focus, face detection, image stabilization, HDR, panorama and Front 5 MP, 720p@30fps Camera
							
						
					
						 
							5.5 Inches capacitive touch screen with 1280 x 720 pixels with 294 PPI, 16 million colors, multi touch with Fingerprint, Accelerometer, proximity, compass Sensors with Corning Gorilla Glass 4 and Shock-Proof all metal frame Phone. Android Smartphone running on Freeme OS 6.0 (Based on Android 6.0.1 Marshmallow). Powerful mediatek MT6737 chipset based on CortexA53 Quad-core 1.3 GHz processor. 16 GB internal memory expandable up to 128 GB, 2 GB RAM and Dual SIM.
							
						
					
						 
							Compatible only with Airtel, Vodafone, Idea and Tata Docomo VoLTE. NOT compatible with other service providers VoLTE unless the service provider app is installed.
							
						
					
						 
							Removable Li-Po 2500 mAH battery. Standby time 350 hours, music play time 38 hours and talk time 18 hours
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Android with 4G/VoLTE network SCOSMOS Pi phones not only brings fast download/upload speed, but also making high quality internet telephony possible. The 5.5HD 4G Mobile phones has IPS large display with 1280*720 screen resolution shows deeper black and richer color with over-saturation. The 900:1 contrast ratio for Pi Phones display brings sharp images and vivid color, which benefits who like to watch sports or movies on their smartphones. This is a 4g mobile phone with dual sim. Corning Gorilla Glass 4 is well known as its ultra steadiness, durability and high transparency. It is applied on Pi Phones with 2.5D arc edge, which not only enables Pi Phones incredible duration but also presents a unique look and silky smooth touch feelings. By introducing a 360 deg fingerprint recognition sensor, Pi Phones can be unlocked quickly and accurately. The Multi Functional fingerprint not only works to unlock device, but also can be used on Picture capture, Home Scroll, Fingerprint Dial, Video Control and Music Control. Housing a 13MP rear camera, Pi phones brings a better image to help you capture every shining moment. With Nature Color Technology, the picture taken by Pi phones obtains high brightness, high definition and real colors. Pi Phones adopts Awinic 7 chip which features Hi-Fi standard sound and Bass Sound System to bring a home theater system experience to music fans. Pi Phones are available with three different colors as Titanium grey, Aurora white and Rose gold. Choose the one you love!",7.7 x 1 x 15.2 cm,431 g,,Pi 5.5 L White
B0784BZ5VY,"Honor 7X (Blue, 4GB RAM + 32GB Memory)",HonorMore Buying Choices and 2 more promotions,"OS : Android
RAM : 4 GB
Item Weight : 163 g
Product Dimensions : 15.7 x 0.8 x 7.5 cm
Batteries: : 1 A batteries required. (included)
Item model number : BND-AL10
Wireless communication technologies : Bluetooth, WiFi Hotspot
Connectivity technologies : GSM, (1800/900 MHz), HSPA+, 3G, (2100/900 MHz), 4G, LTE, FDD, TDD, GPRS, EDGE, WiFi 802.11 b/g/n 2.4 GHz
Special features : Dual SIM, GPS, Music Player, Video Player, E-mail
Other camera features : 8MP
Form factor : Touchscreen Phone
Weight : 163 Grams
Colour : Blue
Battery Power Rating : 3340
Whats in the box : Handset, Charging Cable, Charging Adapter, PC Cover, SIM Ejecting Tool and Quick Start Guide
 : 
ASIN : B0784BZ5VY
Customer Reviews : 
Best Sellers Rank : #45 in Electronics (See top 100)         #20    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 7 December 2017
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,11987,0,11987,https://www.amazon.in/dp/B0784BZ5VY,Blue,"Sold by VTM_SLP (4.5 out of 5 | 680 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.","15,941 customer reviews",4.1 out of 5 stars,"16MP + 2MP dual primary camera and 8MP front facing camera with portrait mode
							
						
					
						 
							15.06 centimeters (5.93-inch) capacitive touchscreen, FHD+ 18:9 display with 1080 x 2160 pixels resolution and 407 ppi pixel density
							
						
					
						 
							EMUI 8.0 on top of Android 8.0 operating system (available through software update) with 2.36GHz Kirin 659 octa core processor, Mali-T830 GPU, 4GB RAM, 32GB internal memory expandable up to 256GB and Dual SIM(Nano+Nano) Hybrid
							
						
					
						 
							User can choose any SIM slot for 4G, based on which SIM is chosen for 4G Data Connection, other SIM goes onto 2G for Voice; 3340mAh lithium-polymer battery
							
						
					
						 
							Finger print scanner and Face unlock. Get new features like Ride Mode and AR lens through software updates.
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries and 3 months for Data/USB Cable from the date of purchase
Honor Mobiles Helpline Customer Service Toll Free Number:- 18002109999
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Size name:32GB
            
          
            
            
            
                 | 
            
             Colour:Blue
            
          
          
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
         
        
        	
        	
        		
        			Honor 7X comes with 18:9 Honor Full View HD+ display and a dual camera primary set up of 16+2 MP, available in 4GB RAM and 32/64 GB ROM options",15.7 x 0.8 x 7.5 cm,163 g,,BND-AL10
B077Q7F7YV,"Redmi 5 (Black, 64GB)",Mi and 4 more promotions,"OS : Android
RAM : 4 GB
Item Weight : 159 g
Product Dimensions : 15.2 x 0.8 x 7.3 cm
Batteries: : 1 Lithium ion batteries required. (included)
Item model number : Redmi 5
Wireless communication technologies : Bluetooth, WiFi Hotspot
Connectivity technologies : WiFi 802.11 b/g/n
Special features : Dual SIM, GPS, Music Player, Video Player, FM Radio, Gyroscope, Infrared, Proximity sensor, Accelerometer, Ambient light sensor, eCompass, E-mail
Other camera features : 5MP
Form factor : Touchscreen Phone
Weight : 159 Grams
Colour : Black
Battery Power Rating : 3300
Whats in the box : Handset, Adapter, USB Cable, Warranty Card, User Guide and SIM Insertion Tool
 : 
ASIN : B077Q7F7YV
Customer Reviews : 
Best Sellers Rank : #19 in Electronics (See top 100)         #9    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 3 May 2018
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,10999,0,10999,https://www.amazon.in/dp/B077Q7F7YV,Black,"Sold by GreenMobiles! (4.7 out of 5 | 13,451 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.","9,635 customer reviews",4.2 out of 5 stars,"14.4 cm (5.7) 18:9 Full screen display, 2.5D curved glass
							
						
					
						 
							Qualcomm SnapdragonTM 450 octa-core processor with 14nm FinFET technology
							
						
					
						 
							12MP Primary camera with large 1.25μm pixels
							
						
					
						 
							5MP front camera with LED Selfie-light
							
						
					
						 
							3300mAh large battery with up to 31 days of standby time
							
						
					
						 
							4GB RAM with 64GB storage expandable up to 128GB
							
						
					
						 
							Dual SIM support (nano + nano) dual standby (4G+4G), HYBRID SIM slot
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		
			
			
			
				
					
						
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including battery from the date of purchase
						
							Note: For technical issues kindly contact toll free number 1800 103 6286
						
					
				
				Show More",,15.2 x 0.8 x 7.3 cm,159 g,,Redmi 5
